철도운영기관명,선명,역명,지번주소,도로명주소
대구도시철도공사,1호선,각산,대구광역시 동구 신서동 627-15,대구광역시 동구 안심로 지하363(신서동)
대구도시철도공사,1호선,교대,대구광역시 남구 대명동 1982-11,대구광역시 남구 중앙대로 지하194(대명동)
대구도시철도공사,1호선,대곡(정부대구청사),대구광역시 달서구 대곡동 946,대구광역시 달서구 비슬로 지하2718(대곡동)
대구도시철도공사,1호선,대구역,대구광역시 북구 칠성동2가 302-305,대구광역시 북구 칠성남30길 지하24(칠성동)
대구도시철도공사,1호선,대명,대구광역시 남구 대명동 1291,대구광역시 남구 대명로 지하71(대명동)
대구도시철도공사,1호선,동대구역,대구광역시 동구 신천동 329-5,대구광역시 동구 동대구로 지하530(신천동)
대구도시철도공사,1호선,동촌,대구광역시 동구 검사동 1104,대구광역시 동구 해동로 지하197(검사동)
대구도시철도공사,1호선,명덕(2.28민주운동기념회관),대구광역시 중구 남산동 2321,대구광역시 중구 명덕로 지하185(남산동)
대구도시철도공사,1호선,반야월,대구광역시 동구 동호동 207-11,대구광역시 동구 안심로 지하261(동호동)
대구도시철도공사,1호선,반월당,대구광역시 중구 덕산동 88,대구광역시 중구 달구벌대로 지하2100(덕산동)
대구도시철도공사,1호선,방촌,대구광역시 동구 방촌동 857-19,대구광역시 동구 동촌로 지하275(방촌동)
대구도시철도공사,1호선,상인,대구광역시 달서구 상인동 204-4,대구광역시 달서수 월배로 지하223(상인동)
대구도시철도공사,1호선,설화명곡,대구광역시 달성군 화원읍 설화리 562-1,대구광역시 달성군 화원읍 비슬로 2476
대구도시철도공사,1호선,성당못,대구광역시 남구 대명동 1576-21,대구광역시 남구 월배로 지하501(대명동)
대구도시철도공사,1호선,송현,대구광역시 달서구 송현동 950,대구광역시 달서구 월배로 지하412(송현동)
대구도시철도공사,1호선,신기,대구광역시 동구 신기동 227,대구광역시 동구 안심로 지하159(신기동)
대구도시철도공사,1호선,신천(경북대입구),대구광역시 동구 신천동 741,대구광역시 동구 동부로 지하41(신천동)
대구도시철도공사,1호선,아양교,대구광역시 동구 신암동 1575,대구광역시 동구 아양로 지하245(신암동)
대구도시철도공사,1호선,안심(혁신도시·첨복단지),대구광역시 동구 괴정동 536-1,대구광역시 동구 안심로 지하455(괴전동)
대구도시철도공사,1호선,안지랑,대구광역시 남구 대명동 1291,대구광역시 남구 대명로 지하141(대명동)
대구도시철도공사,1호선,영대병원,대구광역시 남구 대명동 224,대구광역시 남구 대명로 지하292(대명동)
대구도시철도공사,1호선,용계,대구광역시 동구 용계동 405-4,대구광역시 동구 동촌로 지하383(용계동)
대구도시철도공사,1호선,월배,대구광역시 달서구 진천동 49-4,대구광역시 달서구 월배로 지하143(진천동)
대구도시철도공사,1호선,월촌,대구광역시 달서구 송현동 2041,대구광역시 달서구 월배로 지하311(송현동)
대구도시철도공사,1호선,율하,대구광역시 동구 율하동 840-27,대구광역시 동구 안심로 지하57(율하동)
대구도시철도공사,1호선,중앙로,대구광역시 중구 남일동 143-1,대구광역시 중구 중앙대로 지하424(남일동)
대구도시철도공사,1호선,진천,대구광역시 달서구 진천동 608-4,대구광역시 달서구 월배로 지하76(진천동)
대구도시철도공사,1호선,칠성시장,대구광역시 북구 칠성동1가 278-1,대구광역시 북구 칠성남로 지하222(칠성동)
대구도시철도공사,1호선,큰고개,대구광역시 동구 신암동 369,대구광역시 동구 신암남로 지하169(신암동)
대구도시철도공사,1호선,해안,대구광역시 동구 방촌동 1139-1,대구광역시 동구 동촌로 지하167(방촌동)
대구도시철도공사,1호선,현충로,대구광역시 북구 칠성동1가 278-1,대구광역시 남구 대명로 지하222(대명동)
대구도시철도공사,1호선,화원,대구 달성군 화원읍 천내리 896-1,대구광역시 달성군 화원읍 비슬로 지하 2600
대구도시철도공사,2호선,감삼,대구광역시 달서구 감삼동 305,대구광역시 달서구 달구벌대로 지하1665(감삼동)
대구도시철도공사,2호선,강창,대구광역시 달서구 호산동 102-2,대구광역시 달서구 달구벌대로 지하1014(호산동)
대구도시철도공사,2호선,경대병원,대구광역시 중구 삼덕동2가 327 ,대구광역시 중구 달구벌대로 지하2190 (삼덕동2가)
대구도시철도공사,2호선,계명대,대구광역시 달서구 신당동 1034-4,대구광역시 달서구 달구벌대로 지하1140(신당동)
대구도시철도공사,2호선,고산,대구광역시 수성구 시지동 250-1,대구광역시 수성구 달구벌대로 지하3080(시지동)
대구도시철도공사,2호선,내당,대구광역시 서구 내당동 1290,대구광역시 서구 달구벌대로 지하1827 (내당동)  
대구도시철도공사,2호선,다사,대구광역시 달성군 다사읍 매곡리 689-1,대구광역시 달성군 다사읍 다사역로 지하30
대구도시철도공사,2호선,담티(산대ㆍ대륜),대구광역시 수성구 만촌동 889,대구광역시 수성구 달구벌대로 지하2672(만촌동)
대구도시철도공사,2호선,대공원,대구광역시 수성구 연호동 154-5,대구광역시 수성구 달구벌대로 지하2950(연호동)
대구도시철도공사,2호선,대구은행,대구광역시 수성구 수성동4가 1085-32,대구광역시 수성구 달구벌대로 지하2300(수성동)
대구도시철도공사,2호선,대실,대구광역시 달성군 다사읍 죽곡리 242-2,대구광역시 달성군 다사읍 달구벌대로 지하888
대구도시철도공사,2호선,두류,대구광역시 달서구 두류동 1290-1,대구광역시 달서구 달구벌대로 지하1760(두류동)
대구도시철도공사,2호선,만촌,대구광역시 수성구 만촌동 1320,대구광역시 수성구 달구벌대로 지하2584(만촌동)
대구도시철도공사,2호선,문양,대구광역시 달성군 다사읍 문양리 400,대구광역시 달성군 다사읍 문양역길 71
대구도시철도공사,2호선,반고개,대구광역시 달서구 두류동 866-39,대구광역시 달서구 달구벌대로 지하1900  (두류동) 
대구도시철도공사,2호선,반월당,대구광역시 중구 덕산동 88,대구광역시 중구 달구벌대로 지하2100(덕산동)
대구도시철도공사,2호선,범어,대구광역시 수성구 범어동 835,대구광역시 수성구 달구벌대로 지하2396(범어동)
대구도시철도공사,2호선,사월,대구광역시 수성구 신매동 10-1,대구광역시 수성구 달구벌대로 지하3290(신매동)
대구도시철도공사,2호선,성서산업단지,대구광역시 달서구 이곡동 653-4,대구광역시 달서구 달구벌대로 지하1280(이곡동)
대구도시철도공사,2호선,수성구청(KBS),대구광역시 수성구 범어동 835,대구광역시 수성구 달구벌대로 지하2500(범어동)
대구도시철도공사,2호선,신남,대구광역시 중구 동산동 640,대구광역시 중구 달구벌대로 지하2000(동산동)
대구도시철도공사,2호선,신매,대구광역시 수성구 매호동 815-5,대구광역시 수성구 달구벌대로 지하3180(매호동)
대구도시철도공사,2호선,연호,대구광역시 수성구 연호동 552,대구광역시 수성구 달구벌대로 지하2870(연호동)
