Busstop,Total
약령시건너(동성로입구),104237
경상감영공원앞,82690
동구청건너,71609
약령시앞,71408
2.28기념중앙공원앞,70023
CGV대구한일건너,69924
아양교역(1번출구),67382
동대구역건너,66251
반월당역(2번출구),62024
동대구역복합환승센터앞,58387
서부정류장1,50436
동대구역,50069
경상감영공원건너,49669
서부정류장(관문시장건너),49277
섬유회관앞,45818
상인현대맨션건너,45654
동대구역복합환승센터건너,42423
곽병원건너,41724
큰장네거리1,40711
영남대 건너,40611
동구청앞,39988
큰장네거리2,39778
대곡역(한라하우젠트건너),39189
산격종합시장앞,38701
아양교역(2번출구),38663
산격대우아파트앞,38583
북부정류장,37942
2.28기념중앙공원건너1,37234
강남약국건너,36144
평화시장(닭똥집골목)앞,35952
삼성래미안1차건너,35644
경신고등학교건너,33881
감삼네거리2,33388
두류역(달성고등학교앞),32469
팔달시장역,32331
경신고등학교앞,31667
칠성시장앞1,31589
한영한마음아동병원앞,31284
서구청건너,30794
대구과학대학2,29809
신매광장앞,29758
이시아폴리스더샵1단지,29753
동아백화점수성점앞,29694
복현오거리1,28946
영진고등학교앞,28653
대구은행북비산지점앞,28083
봉덕1동행정복지센터앞,27759
서부정류장역1(1번출구),27744
칠성시장건너,27588
안심역(4번출구),27469
계명대학교동문건너2,27450
서문시장,27307
섬유회관건너1,26754
경북대학교북문건너,26682
중앙초교 건너,26647
팔달시장앞,26518
대구제일고등학교앞,26334
불로전통시장건너,26095
상인현대맨션앞,25650
대구역앞,25640
서구청앞,25611
용산네거리2,25601
신매광장건너,25543
그랜드호텔앞,25367
성서주공2단지앞,25071
상인우방아파트,24982
서남시장건너,24434
성서종합시장앞,24241
명덕역(6번출구),24162
서부시장건너,24131
큰장네거리4,24092
농협중앙회앞,24055
강남약국앞1,23899
서부정류장(관문시장앞),23895
2차서한화성타운건너,23870
그랜드호텔건너,23857
중구청앞,23497
화원초등학교건너,23287
대구국제공항건너,23277
평리청구타운앞,23260
월성주공4단지건너,23122
복현우체국건너,23075
북부정류장건너,22917
본리119안전센터1,22618
반월당역(1번출구)1,22607
성당시장앞2,22537
만촌육교1,22493
KT동대구지사건너,22414
큰장네거리3,22397
파티마병원건너1,22395
평리청구타운건너,22248
대실역(2번출구),22013
남문시장앞,21963
성모여성병원앞,21929
공고네거리1,21897
팔달시장건너,21891
경북대학교병원앞,21536
코스트코홀세일앞/복현화성타운건너,21465
진천역(1번출구),21336
새길시장앞,21285
곽병원앞1,21222
도시철도담티역(1번출구),21028
안지랑네거리2,20966
방촌시장건너,20840
대구고등학교건너,20811
대구역건너,20647
대구국제공항앞,20560
법원앞,20435
수성구청건너,20274
계명문화대학앞,20218
성당시장건너,19859
태전역1,19745
세강병원앞,19675
대구은행역(2번출구),19609
영진전문대학후문앞,19532
구)대영학원앞,19496
용산2동행정복지센터앞,19400
KT남대구지사앞1,19375
평화시장(닭똥집골목)건너,19326
경북대학교치과병원,19013
동서화성타운건너,18840
서대구세무서,18799
월성2동행정복지센터앞,18684
현충로역(3번출구),18531
대구시설공단앞,18506
대구은행역(1번출구),18471
영대병원역,18400
대구중앙중고등학교건너,18392
CGV대구한일앞,18358
원대역1,18325
범어4동행정복지센터건너,18281
수성대학교건너,18194
대백인터빌건너,18159
한전서대구지사건너,18040
영대병원역(3번출구),18007
법원건너,17974
명덕역(7번출구),17940
대구제일고등학교건너,17894
성모여성병원건너,17870
범물1동행정복지센터앞,17861
아양교3,17841
우방강촌마을건너,17708
신세계병원건너,17693
수성경찰서건너,17654
화원초등학교앞,17654
시지보성아파트앞,17647
수성대학교앞,17631
달서교회앞,17593
대곡강산타운,17545
용산역(2번출구),17511
죽전네거리1,17375
두류역(달성고등학교건너),17355
영남대 앞,17301
태전역2,17274
영남고등학교앞,17254
중구청건너,17211
송현역(3번출구),17192
경산시장 건너,17145
남문시장건너2,17130
동산의료원앞1,17124
아양교2,17108
서부시장앞,17101
침산코오롱하늘채앞,17097
내당삼익맨션건너,17075
복현대백맨션건너,17049
산격주공아파트앞,16989
현충로역(4번출구),16936
진천역(2번출구),16918
홈플러스대구점앞,16888
공단역2,16792
안지랑네거리1,16782
문성병원앞,16662
팔달신시장,16616
대명시장앞,16550
와룡시장앞,16357
비산지하도2,16334
수성구청앞,16329
경북대학교정문앞,16314
팔레스호텔건너,16297
구병원앞,16282
대구은행칠곡지점앞,16168
안심효성타운앞,16136
달성공원앞,16123
대구중앙중고등학교앞,16072
