정류소명,X좌표,Y좌표,경유노선수,경유노선
감문리,12825.4403,3553.44464,1,20
묘1리파회,12824.7836,3554.312,2,"20, 성서2"
대명시장앞,12834.6278,3551.5214,7,"509, 650, 706, 805, 836, 달서4, 순환2-1"
대명시장건너,12834.6689,3551.5184,7,"509, 650, 706, 805, 836, 달서4-1, 순환2"
계명대학교대명캠퍼스앞,12834.8509,3551.4267,7,"509, 650, 706, 805, 836, 달서4, 순환2-1"
계명대학교대명캠퍼스건너,12834.8004,3551.4605,7,"509, 650, 706, 805, 836, 달서4-1, 순환2"
중부소방서건너,12834.5403,3551.7872,4,"250, 323, 909, 성서2"
중부소방서앞,12834.6056,3551.7831,3,"250, 323-1, 급행6"
대신센트럴자이,12834.6787,3551.8217,5,"250, 323, 909, 급행6, 성서2"
청라언덕(신남)역(1번출구),12834.871003,3551.881513,4,"250, 323, 909, 성서2"
엘디스리젠트호텔건너,12835.2044,3551.9649,2,"405, 609"
엘디스리젠트호텔앞,12835.1149,3551.9586,7,"405, 609, 840, 909, 990, 991, 북구2"
현대백화점.동아쇼핑건너,12835.4056,3551.9538,5,"405, 609, 840, 990, 991"
봉산문화거리앞,12835.831,3551.8805,3,"306, 730, 805"
2호선반월당역1,12835.7445,3551.9045,5,"609, 840, 990, 991, 급행2"
봉산문화거리건너,12835.8167,3551.9012,4,"306, 649, 730, 805"
반월당역(2번출구),12835.5947,3551.7615,13,"204, 304, 306, 349, 401, 405, 410, 503, 518, 649, 650, 706, 805"
반월당역(1번출구)1,12835.5896,3551.8008,8,"306, 349, 401, 405, 410-1, 503, 650, 805"
남문시장건너2,12835.5238,3551.5737,12,"204, 304, 306, 349, 405, 410, 503, 518, 649, 650, 706, 805"
남문시장앞,12835.5288,3551.6227,12,"204, 304, 306, 349, 405, 410-1, 503, 518, 649, 650, 706, 805"
명덕역(6번출구),12835.4721,3551.4685,12,"204, 304, 306, 349, 405, 410, 503, 518, 649, 650, 706, 805"
명덕역(7번출구),12835.4632,3551.4741,10,"306, 349, 405, 410-1, 503, 518, 649, 650, 706, 805"
명덕네거리1,12835.5212,3551.4093,5,"204, 304, 509, 남구1, 순환2-1"
